"year","division","region","state","state.code","est_pop","sum_total_homeless","sum_unemploy_rate","mean.homeless","mean.unemploy","homeless_proportion","unemploy_proportion"
2009,"South Atlantic","South","Maryland","MD",5730388,11698,184.9,9319.2,175.84,0.00204139754585553,3.22665760154461e-05
2009,"New England","Northeast","Massachusetts","MA",6517613,15482,121.2,17693.5,113.1,0.00237540952492883,1.85957650446567e-05
2009,"East North Central","Midwest","Michigan","MI",9901591,14005,0,15296.9,658.28,0.00141441915748691,0
2009,"West North Central","Midwest","Minnesota","MN",5281203,7718,802.6,7727.1,651.42,0.00146140945538356,0.000151972950102467
2009,"East South Central","South","Mississippi","MS",2958774,2797,866.9,2194.7,851.98,0.000945323975403326,0.000292992976144849
2009,"West North Central","Midwest","Missouri","MO",5961088,7181,1079.1,7911,917.75,0.00120464586330549,0.000181024000987739
2009,"Mountain","West","Montana","MT",983982,1196,409.9,1572.9,354.64,0.00121546938866768,0.000416572660882008
2009,"West North Central","Midwest","Nebraska","NE",1812683,3718,424.4,3411.7,381.19,0.00205110325412662,0.000234128085274701
2009,"Mountain","West","Nevada","NV",2684665,11089,155,8907.1,156.47,0.00413049672864212,5.77353226566443e-05
2009,"New England","Northeast","New Hampshire","NH",1316102,1645,59.1,1608.5,52.18,0.00124990312301022,4.49053340850481e-05
2009,"Middle Atlantic","Northeast","New Jersey","NJ",8755602,13169,179.8,12788,175.24,0.00150406562564173,2.05354240633597e-05
2009,"Mountain","West","New Mexico","NM",2036802,3475,220.6,3028.3,241.53,0.00170610594451498,0.000108307042117987
2009,"Middle Atlantic","Northeast","New York","NY",19307066,61067,533.4,71603.2,497.59,0.00316293526939826,2.7627190998363e-05
2009,"South Atlantic","South","North Carolina","NC",9449566,12918,1146.9,11964.5,935.65,0.00136704690987925,0.000121370653424718
2009,"West North Central","Midwest","North Dakota","ND",664968,773,309.2,966.9,249.92,0.00116246195305639,0.000464984781222555
2009,"East North Central","Midwest","Ohio","OH",11528896,12700,988.6,12218.6,807.37,0.00110157989108411,8.57497543563581e-05
2009,"West South Central","South","Oklahoma","OK",3717572,4838,435.1,4427.4,436.06,0.00130138703433316,0.00011703875540272
2009,"Pacific","West","Oregon","OR",3808600,17309,456.6,16057.6,360.16,0.00454471459328887,0.00011988657249383
2009,"Middle Atlantic","Northeast","Pennsylvania","PA",12666858,15096,589.8,15222.1,523.41,0.00119177147166251,4.65624545566075e-05
2009,"New England","Northeast","Rhode Island","RI",1053646,1607,53.3,1264.9,44.97,0.00152518018385682,5.05862500308453e-05
2009,"South Atlantic","South","South Carolina","SC",4589872,4473,577.8,5228,469.11,0.000974536980551963,0.000125885863483775
2009,"West North Central","Midwest","South Dakota","SD",807067,731,372.5,839.2,333.56,0.000905748841174277,0.000461547802103171
2009,"East South Central","South","Tennessee","TN",6306019,10532,1169.2,9710.7,893,0.00167015037537946,0.000185410161307792
2009,"West South Central","South","Texas","TX",24801761,36761,0,32773.3,1161.96,0.0014821931394307,0
2009,"Mountain","West","Utah","UT",2723421,3795,239.3,3237.1,204.88,0.00139346799484913,8.78674285026076e-05
2009,"New England","Northeast","Vermont","VT",624817,1214,105.5,1238,86.63,0.0019429689012943,0.000168849439115773
2009,"South Atlantic","South","Virginia","VA",7925937,8852,0,8130.1,745.68,0.00111683956105127,0
2009,"Pacific","West","Washington","WA",6667426,22782,380.9,20838.4,384.88,0.0034169108138583,5.71284930646399e-05
2009,"South Atlantic","South","West Virginia","WV",1847775,1667,414,2045.2,470.39,0.000902166118710341,0.000224053253237001
2009,"East North Central","Midwest","Wisconsin","WI",5669264,6525,637.3,5966.8,580.5,0.00115094305010315,0.000112413180970228
2009,"Mountain","West","Wyoming","WY",559851,515,123.2,859.8,127.62,0.000919887612954161,0.000220058551293112
2010,"East South Central","South","Alabama","AL",4785492,6046,968.3,5106.3,624,0.00126340196577489,0.000202340741558026
2010,"Mountain","West","Arizona","AZ",6408312,13711,212.3,11803.2,149.56,0.00213956498996928,3.31288489074814e-05
2010,"West South Central","South","Arkansas","AR",2921995,2762,760.6,3211.4,633.61,0.000945244601719031,0.000260301609003438
2010,"Pacific","West","California","CA",37332685,123480,865.7,123428.5,498.51,0.00330755743927874,2.31887955554228e-05
2010,"Mountain","West","Colorado","CO",5048644,15482,557.6,13189.1,415.96,0.00306656599276954,0.000110445497840608
2010,"New England","Northeast","Connecticut","CT",3579899,4316,75,4354.2,58.62,0.00120562060549753,2.09503117266716e-05
2010,"South Atlantic","South","Delaware","DE",899816,982,29,1001.9,20.7,0.00109133422833113,3.22288112236279e-05
2010,"Pacific","West","Hawaii","HI",1363945,5834,33.9,6497.5,22.91,0.00427729857142333,2.48543746265429e-05
2010,"Mountain","West","Idaho","ID",1571010,2346,507.8,1976.3,352.13,0.00149330685355281,0.000323231551676947
2010,"East North Central","Midwest","Illinois","IL",12841578,14395,1244.9,13811.3,890.01,0.00112096815515975,9.69429146480285e-05
2010,"East North Central","Midwest","Indiana","IN",6490528,6452,1141.5,6437.2,755.65,0.000994063965212075,0.000175871670224672
2010,"West North Central","Midwest","Iowa","IA",3050738,3014,761.7,3088.7,585.65,0.000987957667947887,0.000249677291199703
2010,"West North Central","Midwest","Kansas","KS",2858850,1809,701.9,2094.9,532.9,0.00063277191877853,0.000245518302814069
