"Year","state","state.code","Sum_Total_Homeless","Sum_Unemploy_Rate","avg_homeless_07to16","avg_unemploy_07to16","Estimate Date","Estimate"
2010,"Arkansas","AR",2762,760.6,3211.4,633.61,"EST_JUL_2010",2921995
2010,"California","CA",123480,865.7,123428.5,498.51,"EST_JUL_2010",37332685
2010,"Colorado","CO",15482,557.6,13189.1,415.96,"EST_JUL_2010",5048644
2010,"Connecticut","CT",4316,75,4354.2,58.62,"EST_JUL_2010",3579899
2010,"Delaware","DE",982,29,1001.9,20.7,"EST_JUL_2010",899816
2010,"Hawaii","HI",5834,33.9,6497.5,22.91,"EST_JUL_2010",1363945
2010,"Idaho","ID",2346,507.8,1976.3,352.13,"EST_JUL_2010",1571010
2010,"Illinois","IL",14395,1244.9,13811.3,890.01,"EST_JUL_2010",12841578
2010,"Indiana","IN",6452,1141.5,6437.2,755.65,"EST_JUL_2010",6490528
2010,"Iowa","IA",3014,761.7,3088.7,585.65,"EST_JUL_2010",3050738
2010,"Kansas","KS",1809,701.9,2094.9,532.9,"EST_JUL_2010",2858850
2010,"Kentucky","KY",6623,1592.7,5919.3,939.44,"EST_JUL_2010",4348662
2010,"Louisiana","LA",12482,615,7093.1,328.47,"EST_JUL_2010",4544996
2010,"Maine","ME",2379,160.4,2528.8,128.84,"EST_JUL_2010",1327730
2010,"Maryland","MD",10845,229,9319.2,175.84,"EST_JUL_2010",5788584
2010,"Massachusetts","MA",16646,154.4,17693.5,113.1,"EST_JUL_2010",6565524
2010,"Michigan","MI",13058,1327.6,15296.9,658.28,"EST_JUL_2010",9877495
2010,"Minnesota","MN",7869,826.4,7727.1,651.42,"EST_JUL_2010",5311147
2010,"Mississippi","MS",2743,1114.8,2194.7,851.98,"EST_JUL_2010",2970322
2010,"Missouri","MO",8337,1308,7911,917.75,"EST_JUL_2010",5996118
2010,"Montana","MT",1615,439.5,1572.9,354.64,"EST_JUL_2010",990641
2010,"Nebraska","NE",3877,488.8,3411.7,381.19,"EST_JUL_2010",1830051
2010,"Nevada","NV",11205,218.9,8907.1,156.47,"EST_JUL_2010",2703284
2010,"New Hampshire","NH",1574,69.4,1608.5,52.18,"EST_JUL_2010",1316872
2010,"New Jersey","NJ",13737,232.5,12788,175.24,"EST_JUL_2010",8803729
2010,"New Mexico","NM",3475,299,3028.3,241.53,"EST_JUL_2010",2064756
2010,"New York","NY",65606,618.3,71603.2,497.59,"EST_JUL_2010",19402640
2010,"North Carolina","NC",12191,1329.9,11964.5,935.65,"EST_JUL_2010",9558915
2010,"North Dakota","ND",799,273,966.9,249.92,"EST_JUL_2010",674526
2010,"Ohio","OH",12569,1220.8,12218.6,807.37,"EST_JUL_2010",11540983
2010,"Oklahoma","OK",5229,617.6,4427.4,436.06,"EST_JUL_2010",3759603
2010,"Oregon","OR",19492,478.3,16057.6,360.16,"EST_JUL_2010",3838048
2010,"Pennsylvania","PA",14516,702,15222.1,523.41,"EST_JUL_2010",12712343
2010,"Rhode Island","RI",1282,57.6,1264.9,44.97,"EST_JUL_2010",1053337
2010,"South Carolina","SC",4473,674,5228,469.11,"EST_JUL_2010",4635943
2010,"South Dakota","SD",731,411.5,839.2,333.56,"EST_JUL_2010",816325
2010,"Tennessee","TN",10276,1279.7,9710.7,893,"EST_JUL_2010",6356671
2010,"Texas","TX",35121,2203.2,32773.3,1161.96,"EST_JUL_2010",25244310
2010,"Utah","UT",3284,299.3,3237.1,204.88,"EST_JUL_2010",2775326
2010,"Vermont","VT",1220,110.3,1238,86.63,"EST_JUL_2010",625982
2010,"Virginia","VA",9080,1259.5,8130.1,745.68,"EST_JUL_2010",8025773
2010,"Washington","WA",22878,511.5,20838.4,384.88,"EST_JUL_2010",6743226
2010,"West Virginia","WV",2264,597.8,2045.2,470.39,"EST_JUL_2010",1854230
2010,"Wisconsin","WI",6333,819.6,5966.8,580.5,"EST_JUL_2010",5690263
2010,"Wyoming","WY",579,180.6,859.8,127.62,"EST_JUL_2010",564513
2011,"Alabama","AL",5558,864,5106.3,624,"EST_JUL_2011",4799918
2011,"Arizona","AZ",10504,190.1,11803.2,149.56,"EST_JUL_2011",6467163
2011,"Arkansas","AR",3424,794.9,3211.4,633.61,"EST_JUL_2011",2939493
2011,"California","CA",125128,871.2,123428.5,498.51,"EST_JUL_2011",37676861
2011,"Colorado","CO",15116,595.6,13189.1,415.96,"EST_JUL_2011",5118360
2011,"Connecticut","CT",4456,76.2,4354.2,58.62,"EST_JUL_2011",3589893
2011,"Delaware","DE",1035,26.6,1001.9,20.7,"EST_JUL_2011",907924
2011,"Hawaii","HI",6188,32.4,6497.5,22.91,"EST_JUL_2011",1377864
2011,"Idaho","ID",2199,486.8,1976.3,352.13,"EST_JUL_2011",1584143
2011,"Illinois","IL",14009,991.3,13811.3,890.01,"EST_JUL_2011",12860012
2011,"Indiana","IN",6196,945.8,6437.2,755.65,"EST_JUL_2011",6516480
2011,"Iowa","IA",3134,685.8,3088.7,585.65,"EST_JUL_2011",3065223
2011,"Kansas","KS",2308,664.7,2094.9,532.9,"EST_JUL_2011",2869503
2011,"Kentucky","KY",6034,1448,5919.3,939.44,"EST_JUL_2011",4369354
2011,"Louisiana","LA",9291,655.3,7093.1,328.47,"EST_JUL_2011",4575404
2011,"Maine","ME",2447,159,2528.8,128.84,"EST_JUL_2011",1328231
2011,"Maryland","MD",10208,220.4,9319.2,175.84,"EST_JUL_2011",5843603
2011,"Massachusetts","MA",16664,140.5,17693.5,113.1,"EST_JUL_2011",6611923
2011,"Michigan","MI",13185,1110.8,15296.9,658.28,"EST_JUL_2011",9876213
2011,"Minnesota","MN",7495,761.8,7727.1,651.42,"EST_JUL_2011",5348562
2011,"Mississippi","MS",2306,1002.1,2194.7,851.98,"EST_JUL_2011",2978162
2011,"Missouri","MO",9192,1241.3,7911,917.75,"EST_JUL_2011",6010717
2011,"Montana","MT",1768,438.5,1572.9,354.64,"EST_JUL_2011",997821
2011,"Nebraska","NE",3548,452.6,3411.7,381.19,"EST_JUL_2011",1842283
